School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2016,Math,7,3906,Lynnville-Sully,35,39,89.7,80.1 - 90%,
2017,Reading,3,3154,Iowa Valley Comm School District,32,37,86.5,80.1 - 90%,
2017,Math,3,4785,North Tama County Comm School District,22,24,91.7,90.1 - 100%,
2016,Reading,4,6035,Sioux Central,29,36,80.6,80.1 - 90%,
2016,Reading,6,0873,North Iowa,17,31,54.8,50.1 - 60%,
2017,Reading,4,6096,Southeast Webster Grand Comm School District,37,41,90.2,90.1 - 100%,
2017,Math,6,2781,Hampton-Dumont Comm School District,46,77,59.7,50.1 - 60%,
2016,Reading,4,2781,Hampton-Dumont,50,75,66.7,60.1 - 70%,
2017,Math,4,4725,Newton Comm School District,162,198,81.8,80.1 - 90%,
2016,Reading,4,5163,Pekin,31,32,96.9,90.1 - 100%,
2017,Reading,5,3204,Jesup Comm School District,59,80,73.8,70.1 - 80%,
2017,Math,5,4509,Morning Sun Comm School District,11,12,91.7,90.1 - 100%,
2016,Reading,8,6138,Springville,15,21,71.4,70.1 - 80%,
2016,Reading,4,3154,Iowa Valley,30,36,83.3,80.1 - 90%,
2016,Reading,11,0504,Battle Creek-Ida Grove,35,47,74.5,70.1 - 80%,
2017,Math,4,0621,Bettendorf Comm School District,245,270,90.7,90.1 - 100%,
2016,Reading,7,3150,Iowa Falls,78,94,83.0,80.1 - 90%,
2016,Math,6,1206,Clarion-Goldfield-Dows,51,60,85.0,80.1 - 90%,
2016,Math,5,5121,Panorama,32,45,71.1,70.1 - 80%,
2017,Reading,5,2097,English Valleys Comm School District,26,32,81.3,80.1 - 90%,
2017,Math,11,6762,Wapsie Valley Comm School District,41,50,82.0,80.1 - 90%,
2017,Math,4,4774,North Fayette Comm School District,38,48,79.2,70.1 - 80%,
2016,Math,3,1206,Clarion-Goldfield-Dows,15,16,93.8,90.1 - 100%,
2016,Reading,6,1963,East Buchanan,31,33,93.9,90.1 - 100%,
2017,Reading,5,4491,Moravia Comm School District,18,27,66.7,60.1 - 70%,
2017,Reading,4,2322,Fort Madison Comm School District,102,134,76.1,70.1 - 80%,
2017,Reading,7,0977,Cardinal Comm School District,29,44,65.9,60.1 - 70%,
2016,Reading,5,1576,Dallas Center-Grimes,176,191,92.1,90.1 - 100%,
2017,Math,6,3841,Louisa-Muscatine Comm School District,49,57,86.0,80.1 - 90%,
2017,Reading,8,5310,Postville Comm School District,23,46,50.0,40.1 - 50%,
2016,Math,4,2493,Gilmore City-Bradgate,,,,Not Reportable,
2017,Reading,5,0126,Algona Comm School District,84,103,81.6,80.1 - 90%,
2017,Reading,8,1107,Chariton Comm School District,54,74,73.0,70.1 - 80%,
2017,Math,8,3375,Knoxville Comm School District,94,108,87.0,80.1 - 90%,
2016,Reading,7,2205,Farragut,11,20,55.0,50.1 - 60%,
2017,Math,3,1044,Cedar Falls Comm School District,339,383,88.5,80.1 - 90%,
2016,Math,11,3715,Linn-Mar,393,434,90.6,90.1 - 100%,
2017,Reading,8,4043,Maquoketa Valley Comm School District,47,56,83.9,80.1 - 90%,
2017,Reading,3,4068,Marcus-Meriden-Cleghorn Comm School District,24,26,92.3,90.1 - 100%,
2016,Math,5,3841,Louisa-Muscatine,41,55,74.5,70.1 - 80%,
2016,Math,3,5832,Schleswig,15,16,93.8,90.1 - 100%,
2017,Math,7,0999,Carroll Comm School District,103,114,90.4,90.1 - 100%,
2017,Reading,5,0657,Eddyville-Blakesburg- Fremont CSD,53,70,75.7,70.1 - 80%,
2016,Math,3,6509,Turkey Valley,15,16,93.8,90.1 - 100%,
2016,Math,3,4774,North Fayette,15,16,93.8,90.1 - 100%,
2016,Math,7,0472,Ballard,112,128,87.5,80.1 - 90%,
